hex,count_good_aircraft,count_bad_aircraft
840c8c9ffffffff,38,0
840c8c1ffffffff,2,0
840c8cdffffffff,26,0
840c8c5ffffffff,4,0
840c813ffffffff,31,5
840c8c3ffffffff,4,12
840c8c7ffffffff,37,1
840c8ebffffffff,7,0
842c547ffffffff,10,5
842c545ffffffff,4,3
842e6c7ffffffff,15,0
842e689ffffffff,37,18
842e76dffffffff,25,0
842e2bbffffffff,26,0
842e2b3ffffffff,6,8
842e2b1ffffffff,92,0
84be005ffffffff,14,0
84be063ffffffff,36,0
84be061ffffffff,35,2
84be06dffffffff,13,0
84be21bffffffff,38,0
84be211ffffffff,8,7
84be219ffffffff,0,13
84be21dffffffff,47,0
844b6a5ffffffff,12,9
844b6a7ffffffff,17,3
844b6a3ffffffff,46,5
844b6bdffffffff,71,0
8430e03ffffffff,38,0
844ba0bffffffff,130,8
8466e09ffffffff,53,13
8466e47ffffffff,54,64
8466e6bffffffff,37,36
84a8aa9ffffffff,6,0
84a8aa1ffffffff,38,0
84a8aa7ffffffff,24,37
84a881bffffffff,0,21
8466247ffffffff,19,13
8466241ffffffff,14,31
84c3589ffffffff,28,24
84c35c7ffffffff,49,16
84c35c1ffffffff,20,28
84c35cdffffffff,21,16
8448a89ffffffff,7,2
8448a8bffffffff,36,0
8448ad7ffffffff,26,0
846d2d7ffffffff,6,4
846d2d1ffffffff,1,5
846d2d5ffffffff,8,27
846d2ddffffffff,0,3
846d2c3ffffffff,0,16
840c5e7ffffffff,2,17
840c5e5ffffffff,34,0
840c5edffffffff,40,0
840c517ffffffff,26,0
840c515ffffffff,2,0
84bf4a9ffffffff,47,3
842c2e9ffffffff,0,21
842c217ffffffff,0,64
842c211ffffffff,13,20
842c21dffffffff,33,39
842d31dffffffff,47,34
842d315ffffffff,2,86
842d33bffffffff,0,65
8429b69ffffffff,49,4
8429b6dffffffff,9,0
8429023ffffffff,44,0
842903dffffffff,50,0
8429039ffffffff,6,12
842c08bffffffff,0,23
842c0cbffffffff,0,15
842c0c9ffffffff,0,7
84214c3ffffffff,31,6
8421489ffffffff,19,0
848f595ffffffff,17,0
848f5bbffffffff,52,0
848f5b3ffffffff,30,11
846634dffffffff,29,0
8466345ffffffff,21,0
8466347ffffffff,45,0
8466309ffffffff,12,29
8466c4dffffffff,10,0
8466c41ffffffff,0,19
8466e43ffffffff,67,7
8466e4bffffffff,0,57
8466e41ffffffff,34,7
846086dffffffff,2,0
8460b33ffffffff,25,0
8460959ffffffff,51,0
8460951ffffffff,39,21
8460955ffffffff,0,12
843da39ffffffff,5,0
843da31ffffffff,28,0
84601ebffffffff,13,1
845e599ffffffff,36,0
845e4a5ffffffff,45,11
845e59bffffffff,0,1
845e4a7ffffffff,21,7
84651dbffffffff,0,1
84651d9ffffffff,67,0
8465033ffffffff,18,0
844ab6dffffffff,9,0
844ab65ffffffff,12,0
84696b3ffffffff,18,0
84694d9ffffffff,33,0
84694ddffffffff,34,4
84694c3ffffffff,10,0
84698a9ffffffff,0,12
84698abffffffff,26,2
84698bdffffffff,42,0
84698b1ffffffff,3,0
8465051ffffffff,32,12
8465059ffffffff,34,10
84698a3ffffffff,7,18
84698b5ffffffff,3,0
848c9b9ffffffff,70,0
848c987ffffffff,38,16
848c985ffffffff,17,25
848c9e3ffffffff,0,12
848c9a7ffffffff,12,13
848c9a5ffffffff,9,0
846992dffffffff,11,0
8465019ffffffff,14,0
846501dffffffff,38,3
8465011ffffffff,43,0
8465015ffffffff,8,30
8465017ffffffff,21,21
842c2abffffffff,0,32
8408b47ffffffff,0,36
8408b45ffffffff,0,45
842c0b7ffffffff,85,0
8442c97ffffffff,37,13
8442c95ffffffff,49,12
8442c83ffffffff,69,0
8442c81ffffffff,54,0
8442c8dffffffff,1,0
8420145ffffffff,16,22
8420147ffffffff,28,8
8420109ffffffff,14,26
842010bffffffff,0,7
84a8c6bffffffff,8,4
84a8c0dffffffff,19,0
84a8115ffffffff,96,5
84a8ab5ffffffff,0,7
84a8ab1ffffffff,14,19
84a8ab9ffffffff,43,0
84a8a83ffffffff,38,0
848a9ebffffffff,11,10
848a9c7ffffffff,25,12
842c20bffffffff,0,3
8410cc5ffffffff,20,1
8441a3dffffffff,31,39
8441a35ffffffff,42,17
8441841ffffffff,0,25
8441b51ffffffff,103,62
8441189ffffffff,125,19
8441849ffffffff,40,80
844190dffffffff,9,13
84411d5ffffffff,70,12
8431903ffffffff,17,16
8441b59ffffffff,5,22
844112dffffffff,47,15
844b367ffffffff,0,13
8441b25ffffffff,6,38
844b365ffffffff,12,4
8441b03ffffffff,15,0
8441b39ffffffff,0,29
84438d7ffffffff,2,0
8443899ffffffff,34,0
8443891ffffffff,38,0
8443893ffffffff,26,0
8442169ffffffff,18,3
843568dffffffff,7,0
8435685ffffffff,6,9
84356abffffffff,26,9
84356a1ffffffff,1,0
84356a3ffffffff,21,0
842db35ffffffff,57,37
842db3dffffffff,9,19
842d319ffffffff,19,3
842d311ffffffff,26,2
842c52dffffffff,60,23
842c525ffffffff,8,11
846090bffffffff,31,1
8460957ffffffff,31,0
84445adffffffff,70,38
84445a1ffffffff,117,0
842640dffffffff,247,163
84445abffffffff,72,92
8444edbffffffff,8,28
84268c1ffffffff,4,0
84268cdffffffff,52,0
8426aa7ffffffff,21,1
84445a3ffffffff,36,20
8441647ffffffff,3,0
8441609ffffffff,6,3
84309a1ffffffff,13,0
84309a3ffffffff,10,0
84309abffffffff,4,10
84309bdffffffff,27,0
842c08dffffffff,40,1
842c081ffffffff,21,26
842c083ffffffff,20,0
8439447ffffffff,0,45
8439443ffffffff,0,67
